nupdates,total_timesteps,policy_loss,approxkl,clipfrac,policy_entropy,score,serial_timesteps,time_elapsed,value_loss,explained_variance,eprewmean,eplenmean,fps
23,753664,-0.00267779,0.00155851,0.0751038,25.5172,-17.0325478928,47104,8390.142842054367,50.9001,0.7065706849098206,-80.59316397,120.54,87
24,786432,-0.00323976,0.00167172,0.0848541,25.5164,-17.0238990595,49152,8765.910861968994,49.3955,0.7041897177696228,-80.63809083,120.69,87
25,819200,-0.00263276,0.00155168,0.0756653,25.5106,-16.9828195183,51200,9146.797081947327,47.8919,0.6962372958660126,-80.69042822,120.68,86
26,851968,-0.00272487,0.00149604,0.0711578,25.508,-17.092017527,53248,9530.676312446594,46.5537,0.6930590569972992,-80.77274672,121.1,85
27,884736,-0.00267392,0.00160524,0.0788879,25.4947,-16.9915380907,55296,9906.341781377792,45.5264,0.6976860463619232,-80.6335858,120.54,87
28,917504,-0.00275555,0.00156402,0.0756042,25.4829,-16.9625325889,57344,10292.007251739502,44.2024,0.7067944407463074,-80.57916634,120.97,84
29,950272,-0.00294068,0.00166878,0.0837463,25.4527,-16.9000161973,59392,10671.107904434204,43.1365,0.7144411504268646,-80.76579647,121.6,86
30,983040,-0.0024331,0.00148785,0.0689026,25.4608,-16.9828018388,61440,11051.324208974838,41.9863,0.7187874615192413,-80.77733609,121.27,86
31,1015808,-0.0026091,0.00163899,0.0819275,25.444,-16.9884196085,63488,11418.956305265427,40.8113,0.7299123406410217,-80.70916349,120.67,89
32,1048576,-0.00294695,0.00163099,0.0811829,25.4346,-16.9562827444,65536,11781.164045333862,39.2626,0.7380459904670715,-80.80601226,121.5,90
33,1081344,-0.00260647,0.00156264,0.0765778,25.4307,-17.0425213343,67584,12146.463716983795,38.1535,0.7494301497936249,-80.87301461,121.1,89
34,1114112,-0.00255523,0.0015426,0.0745148,25.4369,-16.8503128969,69632,12517.367376565933,36.8569,0.7464684844017029,-80.57242492,120.94,88
35,1146880,-0.00267496,0.00162897,0.0817657,25.4448,-16.9668517869,71680,12880.418818473816,35.7493,0.757513701915741,-80.80635177,121.27,90
36,1179648,-0.00261808,0.00161871,0.0799072,25.4378,-17.0035597217,73728,13249.509401798248,34.7971,0.7612343579530716,-80.834294,121.4,88
37,1212416,-0.00254184,0.00168054,0.085379,25.4188,-16.9537507478,75776,13615.926648139954,34.0165,0.7692394256591797,-80.70474938,121.29,89
38,1245184,-0.00272296,0.00160061,0.0789215,25.4197,-16.9447998256,77824,13984.549806594849,33.0104,0.773554265499115,-80.69214439,120.91,88
39,1277952,-0.00229767,0.00160329,0.0797821,25.4233,-16.8353133295,79872,14354.669501781464,31.9644,0.7831850796937943,-80.69243013,121.27,88
40,1310720,-0.00287785,0.00166515,0.0849396,25.425,-16.8753334131,81920,14726.343826055527,30.6943,0.7915033251047134,-80.58222664,121.25,88
41,1343488,-0.00292325,0.001774,0.0929352,25.4165,-16.8291402481,83968,15097.181467056274,29.5065,0.7981485277414322,-80.74593811,121.57,88
42,1376256,-0.0029172,0.00169374,0.0869415,25.4033,-16.805901131,86016,15467.67681646347,28.33,0.8101629018783569,-80.64799227,121.22,88
43,1409024,-0.00276065,0.00169648,0.0867035,25.4067,-16.8637547921,88064,15837.301759004593,27.6144,0.8141041249036789,-80.44648497,120.69,88
44,1441792,-0.00258535,0.00165241,0.0842834,25.3967,-16.8591535628,90112,16208.246372699738,26.573,0.8179196715354919,-80.71990368,121.62,88
45,1474560,-0.00240504,0.00161996,0.0801605,25.3929,-16.7878242145,92160,16585.62488245964,25.3906,0.8241250216960907,-80.83387958,121.98,86
46,1507328,-0.00306206,0.00175835,0.0918854,25.3929,-16.7637179813,94208,16960.393508434296,24.6838,0.8309749960899353,-80.58726108,121.59,87
47,1540096,-0.00270664,0.00171771,0.0884491,25.3839,-16.9034298956,96256,17332.850651025772,23.9706,0.8383447825908661,-80.68792923,121.56,87
48,1572864,-0.00266202,0.00159678,0.0783722,25.3801,-16.7945223734,98304,17709.31614589691,23.2206,0.843876376748085,-80.53500811,121.58,87
49,1605632,-0.00264176,0.00174118,0.0906586,25.3714,-16.7622117655,100352,18085.06484055519,22.0627,0.849647268652916,-80.55724447,122.03,87
50,1638400,-0.00250777,0.00167871,0.0855926,25.3675,-16.8759383329,102400,18469.162042617798,21.306,0.8562521785497665,-80.79522955,122.01,85
51,1671168,-0.0025847,0.0015855,0.0790588,25.3676,-16.8191069537,104448,18852.26295208931,20.4354,0.862748771905899,-80.64502469,122.18,85
52,1703936,-0.00282534,0.00165592,0.0835968,25.3666,-16.8407386677,106496,19257.997245311737,20.0399,0.8677106648683548,-80.67275414,121.86,80
53,1736704,-0.00236489,0.00162755,0.0822235,25.3605,-16.6818784381,108544,19666.86176919937,19.3534,0.8747372925281525,-80.4250137,122.12,80
54,1769472,-0.00280348,0.0016566,0.083728,25.3687,-16.648601534,110592,20072.68125486374,18.4574,0.8801006302237511,-80.50219382,121.86,80
55,1802240,-0.00249958,0.00176676,0.0920074,25.3727,-16.7876059418,112640,20478.218893766403,17.5952,0.8851609081029892,-80.64122683,121.98,80
56,1835008,-0.00251348,0.00171093,0.088446,25.3709,-16.7936159532,114688,20884.825953722,16.8177,0.8873700723052025,-80.69525489,121.72,80
57,1867776,-0.00270153,0.00169227,0.0864563,25.3739,-16.7616295307,116736,21290.211096286774,16.155,0.8935747668147087,-80.51399459,121.6,80
58,1900544,-0.0025967,0.00168881,0.0858459,25.369,-16.6950100268,118784,21696.81767320633,15.516,0.8988617584109306,-80.53502556,122.11,80
59,1933312,-0.00248617,0.00168269,0.0867798,25.351,-16.7291340056,120832,22103.87127685547,14.9162,0.8992867097258568,-80.60926114,122.43,80
60,1966080,-0.00237505,0.00171847,0.0883667,25.3542,-16.6610457252,122880,22505.37440085411,14.4471,0.9058926701545715,-80.3655523,122.19,81
61,1998848,-0.00295606,0.00178976,0.0944977,25.3466,-16.6762887688,124928,22889.15930914879,13.6258,0.9120499193668365,-80.44947633,122.31,85
62,2031616,-0.00245232,0.00178509,0.0939423,25.3378,-16.6588281236,126976,23243.67068719864,12.9207,0.9190979972481728,-80.47077737,122.66,92
63,2064384,-0.00263967,0.00178157,0.0939667,25.3406,-16.7972095663,129024,23594.232222795486,12.3422,0.9240317121148109,-80.65586324,122.09,93
64,2097152,-0.00329388,0.00179919,0.0958069,25.333,-16.703047321,131072,23948.850601911545,11.7247,0.9278188869357109,-80.41782217,122.43,92
65,2129920,-0.00238657,0.00176424,0.0922028,25.3222,-16.7509747655,133120,24303.420393705368,11.2793,0.930937647819519,-80.42170298,122.32,92
66,2162688,-0.00323971,0.00166714,0.0847137,25.3119,-16.7318275599,135168,24660.593042612076,10.723,0.9363105669617653,-80.39386749,121.9,91
67,2195456,-0.0029031,0.00171323,0.088623,25.3096,-16.752333581,137216,25015.33890247345,10.2417,0.9407720640301704,-80.45724795,122.48,92
68,2228224,-0.0021632,0.00176686,0.0922791,25.3048,-16.7338897386,139264,25368.40649676323,9.75589,0.9441124573349953,-80.28104083,122.21,92
69,2260992,-0.00253634,0.0017797,0.0939148,25.2999,-16.7805762105,141312,25726.15852856636,9.29094,0.9474142082035542,-80.52942455,122.89,91
70,2293760,-0.00289768,0.00175448,0.0915771,25.2707,-16.7306879016,143360,26086.593572616577,8.70075,0.9509490244090557,-80.524069,123.24,90
71,2326528,-0.00237022,0.00186159,0.10083,25.272,-16.6921556709,145408,26449.190012931824,8.317,0.9532646760344505,-80.28869557,123.12,90
72,2359296,-0.0019861,0.00184725,0.100842,25.2748,-16.7043832186,147456,26811.811384916306,7.76181,0.9556713923811913,-80.27130123,123.44,90
73,2392064,-0.00262697,0.00186694,0.100763,25.2658,-16.6914920403,149504,27176.028986930847,7.33951,0.9595821015536785,-80.28351316,123.44,89
74,2424832,-0.00228905,0.00172165,0.0884125,25.2518,-16.7767131041,151552,27535.06139779091,7.04387,0.9613022319972515,-80.52688022,123.51,91
75,2457600,-0.00276468,0.00168512,0.0861328,25.2451,-16.5907247196,153600,27905.351850748062,6.52075,0.963079459965229,-80.3612992,124.53,88
76,2490368,-0.00300767,0.001885,0.102832,25.2238,-16.6331309793,155648,28276.156404018402,6.33096,0.9644509218633175,-80.41864537,123.95,88
77,2523136,-0.0025046,0.00176848,0.0922546,25.1909,-16.5394199448,157696,28644.204461574554,5.92489,0.9673157669603825,-80.29058751,124.69,89
78,2555904,-0.00259363,0.0018923,0.102792,25.1886,-16.6357230268,159744,29009.19772696495,5.54434,0.9705549422651529,-80.47575333,125.27,89
79,2588672,-0.00274172,0.00189852,0.103217,25.1817,-16.5576686774,161792,29382.352625608444,5.21777,0.9718991294503212,-80.37919853,125.58,87
80,2621440,-0.00253958,0.00192076,0.104706,25.1781,-16.532201008,163840,29753.696266412735,4.87062,0.9737726729363203,-80.30613633,125.57,88
81,2654208,-0.00291676,0.00189834,0.102863,25.1657,-16.6814128608,165888,30113.06203198433,4.66723,0.9746766034513712,-80.45811361,125.49,91
82,2686976,-0.00314153,0.00171099,0.0866455,25.1472,-16.5799270612,167936,30477.08461689949,4.40333,0.9763886909931898,-80.33535383,125.4,90
83,2719744,-0.00312836,0.00185426,0.100543,25.1369,-16.6324290239,169984,30835.62488436699,4.13831,0.9783622659742832,-80.24027295,125.75,91
84,2752512,-0.00280628,0.00196918,0.110458,25.1202,-16.6563519544,172032,31196.430082798004,3.95298,0.9795910101383924,-80.5427945,127.11,90
85,2785280,-0.00299766,0.00194037,0.10686,25.1174,-16.5189390618,174080,31558.478466272354,3.69983,0.9797050505876541,-80.38505307,127.98,90
86,2818048,-0.00315808,0.00172996,0.08909,25.0895,-16.4079892506,176128,31916.70191693306,3.31712,0.9819928165525198,-80.19667046,128.12,91
87,2850816,-0.00295278,0.00216231,0.123447,25.0728,-16.5623421308,178176,32275.311277151108,3.2255,0.9831710122525692,-80.35371956,127.47,91
88,2883584,-0.00342058,0.00207703,0.117056,25.0608,-16.4304886332,180224,32636.493549585342,3.01574,0.9834634251892567,-80.23255096,130.02,90
89,2916352,-0.0032836,0.00215838,0.124118,25.0503,-16.3563311444,182272,32998.591041088104,2.82964,0.9848432503640652,-80.11797208,129.6,90
90,2949120,-0.00332023,0.00205239,0.114792,25.0475,-16.4536146749,184320,33359.62343931198,2.68723,0.985014789737761,-80.38592508,130.83,90
91,2981888,-0.00377042,0.00186759,0.100269,25.0445,-16.4075312711,186368,33717.009618997574,2.52588,0.9856156278401613,-80.18949791,130.48,91
