policy_loss,approxkl,time_elapsed,serial_timesteps,nupdates,eplenmean,eprewmean,total_timesteps,explained_variance,fps,policy_entropy,clipfrac,value_loss,score
-0.00513764,0.00597474,21961.8488342762,81920,40,129.04,32.17128614,1310720,0.8055758774280548,77,23.8772,0.0685394,4.44588,32.1712862208
-0.00484328,0.00584495,22401.907150268555,83968,41,126.44,31.96982298,1343488,0.8386059105396271,74,23.8323,0.0659088,4.08459,31.9698229746
-0.00544245,0.00599933,22833.425785303116,86016,42,127.07,32.83053917,1376256,0.832996666431427,75,23.8013,0.0684814,3.7229,32.8305392235
-0.00496311,0.00558802,23274.48656105995,88064,43,123.73,32.4204001,1409024,0.8487570285797119,74,23.7827,0.0615753,3.49197,32.4204001062
-0.00621745,0.0063689,23717.413133859634,90112,44,123.39,32.75459474,1441792,0.858878567814827,73,23.7634,0.0749115,3.08684,32.7545947267
-0.00548641,0.00612785,24149.838394641876,92160,45,124.02,33.58351711,1474560,0.8696541339159012,75,23.8035,0.0718872,2.77716,33.5835171206
-0.00574071,0.00614784,24554.96239876747,94208,46,123.51,33.43396635,1507328,0.8827844858169556,80,23.8143,0.0718811,2.54035,33.4339663919
-0.00593129,0.00666693,24964.076673269272,96256,47,124.94,34.35915617,1540096,0.892891637980938,80,23.7554,0.082547,2.28651,34.359156199
-0.00446167,0.00584618,25378.711634874344,98304,48,125.17,34.88020392,1572864,0.9120555147528648,79,23.7181,0.0656006,1.99585,34.8802039288
-0.00525432,0.0059256,25797.923342704773,100352,49,125.58,35.5496817,1605632,0.9155647605657578,78,23.7032,0.0668823,1.81717,35.5496816817
-0.00614697,0.00630864,26217.684153079987,102400,50,123.59,35.03896004,1638400,0.9235579743981361,78,23.7153,0.0747589,1.59113,35.0389600581
-0.00530962,0.00618742,26633.140075683594,104448,51,126.28,36.56824532,1671168,0.9323572069406509,78,23.6984,0.07211,1.4554,36.5682452916
-0.00595789,0.00639989,27051.635179281235,106496,52,128.83,37.56389004,1703936,0.9386073462665081,78,23.6551,0.0757965,1.29254,37.5638900299
-0.00578328,0.00633827,27476.111449718475,108544,53,130.58,38.47322149,1736704,0.9432932324707508,77,23.6406,0.0751556,1.21429,38.4732215332
-0.00570311,0.00649262,27912.4395301342,110592,54,129.37,38.35129447,1769472,0.9484508670866489,75,23.6189,0.0783447,1.06482,38.3512944062
-0.00564227,0.00619339,28352.222874403,112640,55,129.4,38.46337675,1802240,0.9535340033471584,74,23.627,0.0724304,0.882284,38.4633767909
-0.00572339,0.00631868,28794.269903421402,114688,56,130.87,39.43481883,1835008,0.9611123949289322,74,23.5885,0.0731354,0.801893,39.4348188589
