value_loss,policy_loss,fps,policy_entropy,nupdates,eprewmean,score,total_timesteps,approxkl,clipfrac,time_elapsed,eplenmean,serial_timesteps,explained_variance
10.04,-0.00867635,84,23.8892,57,83.46043924,36.4606221795,1867776,0.0145029,0.208319,22293.153558969498,124.92,116736,0.9178359732031822
9.1779,-0.00806873,82,23.895,58,83.6707796,36.6335597376,1900544,0.0140092,0.199579,22692.654975414276,125.24,118784,0.9246164858341217
8.16728,-0.00866811,83,23.8747,59,83.84155589,36.6917039691,1933312,0.0148912,0.212878,23086.64238667488,125.42,120832,0.9325906112790108
7.80735,-0.0073133,82,23.8841,60,85.11826425,37.9713591406,1966080,0.0153004,0.217532,23484.03461289406,127.25,122880,0.9383615404367447
7.21629,-0.00856355,86,23.8503,61,85.03762323,37.8940076726,1998848,0.0140421,0.201025,23863.327864170074,126.54,124928,0.942973256111145
6.42636,-0.00825912,85,23.8033,62,85.37466244,38.005712955,2031616,0.0151226,0.216025,24245.89473104477,126.76,126976,0.9497995898127556
5.82964,-0.00852559,85,23.822,63,85.58134708,38.3071980458,2064384,0.0150074,0.214847,24628.1378364563,126.83,129024,0.9563249982893467
5.60329,-0.00736858,85,23.8356,64,85.91011841,38.0757800398,2097152,0.0146293,0.208301,25009.475481271744,125.51,131072,0.9612212218344212
4.7416,-0.00784926,84,23.8338,65,85.7198762,37.4451061145,2129920,0.0136773,0.198572,25395.999519109726,123.81,133120,0.9668336287140846
4.20032,-0.00785278,85,23.8163,66,86.15776676,38.1782042073,2162688,0.0146922,0.214853,25779.060413837433,125.13,135168,0.9716066662222147
3.61846,-0.00855012,84,23.8199,67,86.26872107,38.3641712036,2195456,0.0152464,0.218811,26168.539920568466,125.45,137216,0.9734572656452656
3.2613,-0.00772737,83,23.7982,68,86.00077843,38.0085871608,2228224,0.0149353,0.214865,26561.042026281357,124.0,139264,0.9752527624368668
2.88206,-0.00875853,83,23.7886,69,85.80299141,38.2506744027,2260992,0.0159897,0.229602,26954.367792129517,124.28,141312,0.9772471487522125
2.55593,-0.00710601,81,23.7473,70,85.51967246,38.0747594868,2293760,0.015358,0.222784,27355.673036813736,123.86,143360,0.9770330991595984
2.33212,-0.00834368,79,23.7546,71,85.93296992,38.3459917713,2326528,0.015839,0.229846,27766.490966320038,123.67,145408,0.978830112144351
2.08511,-0.00797364,79,23.7132,72,86.06334753,38.5276517877,2359296,0.015697,0.231546,28180.17141342163,123.93,147456,0.981653394177556
1.92002,-0.00844164,80,23.6969,73,85.61616658,37.9104834426,2392064,0.0152402,0.22356,28586.54771876335,122.04,149504,0.9824728518724442
1.74865,-0.00870629,79,23.6748,74,86.1268547,38.1640258917,2424832,0.0160181,0.231842,29000.422071933746,122.37,151552,0.9835855960845947
1.61926,-0.00856865,79,23.6309,75,85.95381442,37.236328648,2457600,0.0155618,0.226038,29415.06535768509,120.2,153600,0.9846043298020959
1.4929,-0.00835561,80,23.6324,76,86.09691297,37.2080744019,2490368,0.0160349,0.233188,29822.640163183212,119.84,155648,0.9861546978354454
1.3773,-0.00891254,80,23.6038,77,86.17542997,37.0269173157,2523136,0.0163396,0.239413,30229.17245078087,118.87,157696,0.9876793352887034
1.17814,-0.00965859,81,23.6061,78,86.26581541,36.7731112297,2555904,0.015595,0.228674,30630.199209213257,118.27,159744,0.9896367471665144
1.05186,-0.0100137,79,23.5929,79,86.56956339,36.5254961138,2588672,0.0159689,0.232346,31040.54571390152,117.22,161792,0.990853070281446
0.961105,-0.0095666,78,23.5638,80,86.67356255,36.850681918,2621440,0.0161364,0.23678,31458.140005111694,117.82,163840,0.9921521358191967
0.856009,-0.0098215,78,23.5351,81,87.16341196,36.4061044273,2654208,0.0171576,0.246094,31875.881217241287,116.82,165888,0.9930663397535682
0.747496,-0.012348,77,23.542,82,87.32796818,36.7351296994,2686976,0.0166538,0.241107,32300.216433286667,117.26,167936,0.9943008488044143
0.729151,-0.00983705,77,23.5217,83,88.36295359,36.8197689232,2719744,0.0178585,0.255594,32722.792506217957,116.69,169984,0.9950916725210845
0.788257,-0.0101234,78,23.476,84,89.81140386,36.9586064321,2752512,0.0198449,0.27153,33140.54044699669,115.97,172032,0.9955628388561308
0.875596,-0.0116087,78,23.4285,85,90.52835738,36.8471922038,2785280,0.0181932,0.251904,33555.644844055176,115.36,174080,0.9946613032370806
0.969854,-0.0106644,78,23.3859,86,91.72786518,36.9861709838,2818048,0.018543,0.257089,33975.71908593178,115.16,176128,0.9946807413361967
0.993242,-0.010734,75,23.3548,87,92.27370314,37.0997465,2850816,0.0195069,0.273065,34410.05585575104,115.04,178176,0.995191961992532
1.0787,-0.00899229,78,23.317,88,93.75981485,37.2266927476,2883584,0.0182545,0.253427,34827.84400033951,114.54,180224,0.994802397210151
1.11474,-0.00878511,76,23.2858,89,94.48882917,37.4059220146,2916352,0.0185776,0.262408,35256.87630724907,114.5,182272,0.9946905407123268
1.17518,-0.00966446,76,23.2317,90,95.55732462,37.4042079067,2949120,0.0185006,0.260101,35682.73234963417,114.02,184320,0.9944088314659894
1.20647,-0.00986024,77,23.174,91,94.61755762,36.4110684195,2981888,0.0171328,0.241876,36106.37949156761,111.96,186368,0.9934931499883533
