clipfrac,explained_variance,approxkl,nupdates,time_elapsed,fps,serial_timesteps,eprewmean,total_timesteps,value_loss,score,policy_loss,eplenmean,policy_entropy
0.0329422,0.21182143688201904,0.000984726,32,19874.812242507935,111,65536,-928.10251032,2097152,11080.6,-0.941602987223,-0.00114497,128.8,23.7653
0.0343719,0.2126217484474182,0.00101472,33,20481.065012931824,108,67584,-930.60152794,2162688,11083.3,-0.943542546871,-0.00124351,128.51,23.7569
0.0340286,0.21328353881835938,0.000999328,34,21099.267773866653,106,69632,-926.26878143,2228224,11049.3,-0.940065305509,-0.00118264,128.21,23.7591
0.0399887,0.21335572004318237,0.00109551,35,21716.553991794586,106,71680,-928.76965896,2293760,11064.8,-0.942500100699,-0.00135987,128.94,23.7401
0.043338,0.2145264744758606,0.00113943,36,22334.30605340004,106,73728,-929.01125445,2359296,11100.1,-0.943178101495,-0.00138515,128.95,23.7549
0.0353668,0.21318906545639038,0.00101821,37,22961.26957464218,104,75776,-929.1916468,2424832,11096.9,-0.942582748527,-0.00110296,128.61,23.7413
0.0323318,0.21409785747528076,0.000966081,38,23584.92437195778,105,77824,-928.43458441,2490368,11113.9,-0.942363101033,-0.00115362,128.81,23.7262
0.0345535,0.21442246437072754,0.00103147,39,24208.35833454132,105,79872,-931.63455157,2555904,11065.0,-0.944955393298,-0.00112748,129.35,23.7088
0.0392242,0.21552664041519165,0.00108171,40,24841.10373902321,103,81920,-930.86485082,2621440,10993.4,-0.944650592333,-0.00117991,129.15,23.6987
0.0444305,0.21529555320739746,0.00115762,41,25469.676653862,104,83968,-929.40029117,2686976,11011.2,-0.943446099303,-0.00133238,128.93,23.6778
0.0387436,0.21648401021957397,0.00107664,42,26100.654516220093,103,86016,-931.80422305,2752512,10981.3,-0.945242219096,-0.00121817,129.31,23.6805
0.0334534,0.21941709518432617,0.000984129,43,26729.507750034332,104,88064,-928.3224001,2818048,10991.9,-0.941869120665,-0.00132219,128.84,23.6641
0.0370346,0.2188727855682373,0.00105462,44,27357.470678329468,104,90112,-928.70142925,2883584,11034.7,-0.943230019072,-0.00138003,128.92,23.6876
0.0405472,0.22233760356903076,0.00111204,45,27983.664664506912,104,92160,-926.93008449,2949120,11015.8,-0.94127047306,-0.00131302,128.63,23.6494
0.037912,0.22286289930343628,0.00106788,46,28613.884900331497,103,94208,-929.57482636,3014656,11014.1,-0.943450114288,-0.00140407,129.25,23.6234
0.0342041,0.2265215516090393,0.00101926,47,29240.521351337433,104,96256,-925.36259341,3080192,10926.5,-0.940128870511,-0.00126407,128.87,23.6052
0.0385712,0.22527122497558594,0.00107109,48,29871.50273513794,103,98304,-928.30853889,3145728,10942.7,-0.941791371477,-0.00109413,128.51,23.5936
0.0383148,0.2270246148109436,0.00108185,49,30502.055854558945,103,100352,-928.36682562,3211264,10911.4,-0.942481594776,-0.00123332,128.9,23.5683
0.0393463,0.22864603996276855,0.00108873,50,31134.25729584694,103,102400,-928.63714174,3276800,10917.9,-0.942280282542,-0.00112922,128.44,23.5326
0.0425705,0.2291353940963745,0.00113496,51,31767.150855064392,103,104448,-929.05520524,3342336,10884.3,-0.94363386878,-0.00151997,128.72,23.5081
0.0467468,0.22857588529586792,0.00118752,52,32402.832384347916,103,106496,-929.28629212,3407872,10846.0,-0.943324463992,-0.0013842,129.01,23.482
0.0352661,0.23118185997009277,0.00101374,53,33032.49842095375,104,108544,-931.48571667,3473408,10819.9,-0.945445143102,-0.001186,129.02,23.4735
0.0340607,0.23051482439041138,0.00100058,54,33665.38117313385,103,110592,-931.12789866,3538944,10869.7,-0.945311006964,-0.00123408,129.09,23.452
0.0407333,0.2321130633354187,0.00110252,55,34298.43358230591,103,112640,-931.29433615,3604480,10903.8,-0.944461921593,-0.00171007,128.85,23.4255
0.0389359,0.23220831155776978,0.00105112,56,34931.6022567749,103,114688,-930.43785993,3670016,10864.7,-0.944153844664,-0.00119802,128.99,23.4264
0.0390854,0.234919011592865,0.00108113,57,35564.89814662933,103,116736,-929.57282002,3735552,10844.7,-0.943315283462,-0.00120421,128.66,23.4049
0.03927,0.23599368333816528,0.00108681,58,36206.40634727478,102,118784,-931.18969353,3801088,10855.4,-0.944518578497,-0.00140642,129.14,23.3927
0.0381195,0.23793768882751465,0.00106912,59,36840.48815512657,103,120832,-930.35785566,3866624,10833.9,-0.944113514011,-0.00129949,128.98,23.3601
0.0400803,0.2405877709388733,0.00108606,60,37472.785093307495,103,122880,-930.42410041,3932160,10717.3,-0.943724629523,-0.00124343,128.91,23.3432
0.0369873,0.2428566813468933,0.00103758,61,38109.114010334015,102,124928,-927.67585487,3997696,10678.1,-0.942378885022,-0.00115259,128.84,23.3445
0.0444199,0.24452322721481323,0.00113788,62,38727.49438714981,105,126976,-929.44950339,4063232,10717.7,-0.943544825439,-0.00139515,129.02,23.3414
0.0419983,0.2457129955291748,0.00111225,63,39332.28537225723,108,129024,-930.98588029,4128768,10742.8,-0.94436742573,-0.00142092,129.07,23.3283
0.0388687,0.24688750505447388,0.0010725,64,39947.39894533157,106,131072,-931.41247315,4194304,10708.3,-0.945028796006,-0.00136425,129.18,23.3274
0.0369446,0.2501940131187439,0.00104473,65,40568.22781395912,105,133120,-929.8422661,4259840,10674.9,-0.943852196309,-0.00129202,128.9,23.3227
0.0363525,0.2513386011123657,0.00102845,66,41188.99679851532,105,135168,-930.13853225,4325376,10628.1,-0.94426000508,-0.00125771,129.04,23.3058
0.0389801,0.2540974020957947,0.00108138,67,41810.19583487511,105,137216,-929.8190887,4390912,10633.7,-0.943846748874,-0.00130722,128.88,23.3104
0.0389023,0.25272083282470703,0.00107386,68,42434.10940027237,105,139264,-931.56999839,4456448,10610.1,-0.945167992266,-0.00116172,128.98,23.2982
0.0363052,0.2559928297996521,0.00103246,69,43065.02614355087,103,141312,-930.66132789,4521984,10621.2,-0.944108337488,-0.00131248,129.14,23.2913
0.0436096,0.2547047734260559,0.00114189,70,43697.76117897034,103,143360,-932.20608345,4587520,10577.1,-0.945676441187,-0.00143699,129.29,23.2742
0.0433487,0.2570618987083435,0.00112348,71,44325.381189107895,104,145408,-928.42027666,4653056,10539.0,-0.942757985741,-0.00123454,129.08,23.265
0.0452545,0.25844478607177734,0.00115805,72,44954.34644651413,104,147456,-931.38496796,4718592,10495.5,-0.945266948529,-0.00147457,129.2,23.2601
0.0438324,0.25983816385269165,0.0011458,73,45581.89523220062,104,149504,-929.34763003,4784128,10458.9,-0.942689827786,-0.00138743,128.96,23.2587
0.0338989,0.2593468427658081,0.00101694,74,46215.44871234894,103,151552,-932.74068207,4849664,10486.8,-0.945633139455,-0.00118065,129.35,23.2201
0.0438629,0.26298511028289795,0.00113355,75,46847.5285615921,103,153600,-931.75055595,4915200,10511.5,-0.945656853755,-0.00110433,129.07,23.2166
0.0450455,0.26637619733810425,0.00117057,76,47480.42462563515,103,155648,-928.86590439,4980736,10422.7,-0.942900056101,-0.00161339,129.08,23.1913
